Season,League,Club,U23_Percentage (%),Youth_Minutes_Percentage (%),Homegrown_Players_Count,Homegrown_Minutes_Percentage (%),New_Signings_Count,New_Signings_Minutes_Percentage (%),Players_Under_25_Count,Players_Over_30_Count,Star_Dependency_Index,Top_Player_Value_Share (%)
21/22,epl,man city,,,,,,,,,,
22/23,epl,man city,,,,,,,,,,
23/24,epl,man city,,,,,,,,,,
21/22,epl,liverpool,,,,,,,,,,
22/23,epl,liverpool,,,,,,,,,,
23/24,epl,liverpool,,,,,,,,,,
21/22,epl,chelsea,,,,,,,,,,
22/23,epl,chelsea,,,,,,,,,,
23/24,epl,chelsea,,,,,,,,,,
21/22,epl,arsenal,,,,,,,,,,
22/23,epl,arsenal,,,,,,,,,,
23/24,epl,arsenal,,,,,,,,,,
21/22,laliga,real madrid,29.8,15.5,5,9.8,2,10.3,15,8,33.8,13
22/23,laliga,real madrid,26.7,11.3,3,11.2,2,12.1,9,10,26,16.2
23/24,laliga,real madrid,36.5,12.1,5,12.5,5,18.5,13,9,22.4,15.9
21/22,laliga,barcelona,39,30,7,23,10,24,21,9,15,10
22/23,laliga,barcelona,49,49,10,45,7,45,14,7,24,12
23/24,laliga,barcelona,44,44,11,48,5,33,16,6,21,10
21/22,laliga,real sociedad,42,10.2,17,57.8,4,13.4,16,7,19.4,18.3
22/23,laliga,real sociedad,40,18.7,18,55.9,4,12.4,15,4,18.1,17.3
23/24,laliga,real sociedad,35,60,20,70,7,30,16,2,40,12
21/22,bundesliga,baryern,48.7,3.2,6,17.4,3,20.1,12,8,31.2,17.7
22/23,bundesliga,baryern,34.6,14.7,6,92.6,7,100,14,5,0.14,13.5
23/24,bundesliga,baryern,47.8,47.8,7,47.3,7,100,11,7,26.8,13.1
21/22,bundesliga,leverkusen,38.5,38.5,0,0,6,28.8,7,5,57.9,15.5
22/23,bundesliga,leverkusen,33.4,3.2,5,3,3,6,8,4,0.17,23
23/24,bundesliga,leverkusen,25,7,4,7,8,35,11,3,0.14,19
21/22,bundesliga,dortmund,38.4,6.8,6,11.2,3,14.9,15,6,47.1,33.1
22/23,bundesliga,dortmund,51.5,52,6,17,6,43,19,7,11.1,18.8
23/24,bundesliga,dortmund,,,,,,,,,,
21/22,seria,ac milan,,,,,,,,,,
22/23,seria,ac milan,,,,,,,,,,
23/24,seria,ac milan,,,,,,,,,,
21/22,seria,inter milan,,,,,,,,,,
22/23,seria,inter milan,,,,,,,,,,
23/24,seria,inter milan,,,,,,,,,,
21/22,seria,napoli,,,,,,,,,,
22/23,seria,napoli,,,,,,,,,,
23/24,seria,napoli,,,,,,,,,,
21/22,seria,atalanta,,,,,,,,,,
22/23,seria,atalanta,,,,,,,,,,
23/24,seria,atalanta,,,,,,,,,,
